date,opening_cash,expected_inflows,expected_outflows,net_cash_flow,closing_cash
2026-08-25,25444639.0,11558014.0,5000.0,11553014.0,36997653.0
2026-08-26,36997653.0,0.0,5000.0,-5000.0,36992653.0
2026-08-27,36992653.0,0.0,5000.0,-5000.0,36987653.0
2026-08-28,36987653.0,0.0,5000.0,-5000.0,36982653.0
2026-08-29,36982653.0,0.0,5000.0,-5000.0,36977653.0
2026-08-30,36977653.0,0.0,5000.0,-5000.0,36972653.0
2026-08-31,36972653.0,0.0,5000.0,-5000.0,36967653.0
2026-09-01,36967653.0,0.0,5000.0,-5000.0,36962653.0
2026-09-02,36962653.0,0.0,5000.0,-5000.0,36957653.0
2026-09-03,36957653.0,0.0,5000.0,-5000.0,36952653.0
2026-09-04,36952653.0,0.0,5000.0,-5000.0,36947653.0
2026-09-05,36947653.0,0.0,5000.0,-5000.0,36942653.0
2026-09-06,36942653.0,0.0,5000.0,-5000.0,36937653.0
2026-09-07,36937653.0,0.0,5000.0,-5000.0,36932653.0
2026-09-08,36932653.0,0.0,5000.0,-5000.0,36927653.0
2026-09-09,36927653.0,0.0,5000.0,-5000.0,36922653.0
2026-09-10,36922653.0,0.0,5000.0,-5000.0,36917653.0
2026-09-11,36917653.0,0.0,5000.0,-5000.0,36912653.0
2026-09-12,36912653.0,0.0,5000.0,-5000.0,36907653.0
2026-09-13,36907653.0,0.0,5000.0,-5000.0,36902653.0
2026-09-14,36902653.0,0.0,5000.0,-5000.0,36897653.0
2026-09-15,36897653.0,0.0,5000.0,-5000.0,36892653.0
2026-09-16,36892653.0,0.0,5000.0,-5000.0,36887653.0
2026-09-17,36887653.0,0.0,5000.0,-5000.0,36882653.0
2026-09-18,36882653.0,0.0,5000.0,-5000.0,36877653.0
2026-09-19,36877653.0,0.0,5000.0,-5000.0,36872653.0
2026-09-20,36872653.0,0.0,5000.0,-5000.0,36867653.0
2026-09-21,36867653.0,0.0,5000.0,-5000.0,36862653.0
2026-09-22,36862653.0,0.0,5000.0,-5000.0,36857653.0
2026-09-23,36857653.0,0.0,5000.0,-5000.0,36852653.0
